start	end	text
0	6240	no hermano Rivera lo que pasa es que yo le estoy demostrando a él que en este
6240	12800	país en este país no se necesita ni colegiatura no se necesita ir a una
12800	19640	universidad ni ser ingeniero y no se necesita mucho menos el s4 para usted
19640	25880	dedicarse a la construcción entiende y por qué tú sabes por qué no se
25880	31920	necesita nada de eso porque el gremio al cual pertenecemos por obligación porque
31920	36200	nos obligan a estar ahí pues yo no quiero estar ahí y por eso no estoy
36200	41400	entonces ese gremio no defiende el artículo que pusieron por ahí que el
41400	46280	jodia es asesor del estado por ley y que defiende a sus agremiados eso no se
46280	54320	cumple eso no mata en la ley en letra muerta entiende entonces nada de eso yo
54320	60760	lo necesito yo se lo entrego a él y al codia ahora mi s4 que me sometan me lo
60760	64680	quiten se lo entrego el título que tengo mi casa es mío nadie me lo quita
64680	69960	ese nadie me lo quita entiende entonces para que él sepa que
69960	74840	independientemente en un caso hipotético de que ok no se puede
74840	79760	pelear en contra del poder que yo pierde el s4 yo voy a seguir trabajando normal
79760	85120	en mi ingeniería entiende no el malito va a seguir trabajando en ingeniería eso
85120	113760	eso no me va a quitar nada
